scheme,courant_axis,points_per_wavelength,angle_deg,phase_velocity_ratio,phase_error_percent,stable
fd2,0.25,4.4,70.0,0.9386744485969921,-6.132555140300788,True
fd2,0.25,4.4,75.0,0.9318594747211253,-6.814052527887471,True
fd2,0.25,4.4,80.0,0.9262670718613216,-7.373292813867838,True
fd2,0.25,4.4,85.0,0.9225987585516803,-7.740124144831972,True
fd2,0.25,4.4,90.0,0.921321377756537,-7.8678622243463,True
fd2,0.25,4.5,0.0,0.9247349232629626,-7.526507673703742,True
fd2,0.25,4.5,5.0,0.9259563650125309,-7.404363498746913,True
fd2,0.25,4.5,10.0,0.9294644735115747,-7.0535526488425315,True
fd2,0.25,4.5,15.0,0.934813878021918,-6.5186121978082046,True
fd2,0.25,4.5,20.0,0.9413347163651803,-5.8665283634819705,True
fd2,0.25,4.5,25.0,0.9482252032194751,-5.177479678052488,True
fd2,0.25,4.5,30.0,0.9546551981694232,-4.534480183057676,True
fd2,0.25,4.5,35.0,0.9598653798590018,-4.013462014099822,True
fd2,0.25,4.5,40.0,0.9632510151630862,-3.67489848369138,True
fd2,0.25,4.5,45.0,0.9644240774556407,-3.557592254435926,True
fd2,0.25,4.5,50.0,0.9632510151630862,-3.67489848369138,True
fd2,0.25,4.5,55.0,0.9598653798590018,-4.013462014099822,True
fd2,0.25,4.5,60.0,0.9546551981694242,-4.5344801830575765,True
fd2,0.25,4.5,65.0,0.9482252032194751,-5.177479678052488,True
fd2,0.25,4.5,70.0,0.9413347163651803,-5.8665283634819705,True
fd2,0.25,4.5,75.0,0.934813878021918,-6.5186121978082046,True
fd2,0.25,4.5,80.0,0.9294644735115747,-7.0535526488425315,True
fd2,0.25,4.5,85.0,0.9259563650125309,-7.404363498746913,True
fd2,0.25,4.5,90.0,0.9247349232629626,-7.526507673703742,True
fd2,0.25,4.6,0.0,0.9279322311410872,-7.206776885891275,True
fd2,0.25,4.6,5.0,0.9291013220413277,-7.089867795867233,True
fd2,0.25,4.6,10.0,0.9324594630891558,-6.754053691084416,True
fd2,0.25,4.6,15.0,0.9375812881469235,-6.241871185307646,True
fd2,0.25,4.6,20.0,0.9438264813011845,-5.617351869881548,True
fd2,0.25,4.6,25.0,0.9504277706972526,-4.957222930274741,True
fd2,0.25,4.6,30.0,0.9565897782389429,-4.341022176105714,True
fd2,0.25,4.6,35.0,0.9615841198624603,-3.8415880137539715,True
fd2,0.25,4.6,40.0,0.9648301181522583,-3.5169881847741724,True
fd2,0.25,4.6,45.0,0.96595491120824,-3.4045088791760048,True
fd2,0.25,4.6,50.0,0.9648301181522583,-3.5169881847741724,True
fd2,0.25,4.6,55.0,0.9615841198624603,-3.8415880137539715,True
fd2,0.25,4.6,60.0,0.9565897782389429,-4.341022176105714,True
fd2,0.25,4.6,65.0,0.9504277706972526,-4.957222930274741,True
fd2,0.25,4.6,70.0,0.9438264813011836,-5.617351869881637,True
fd2,0.25,4.6,75.0,0.9375812881469235,-6.241871185307646,True
fd2,0.25,4.6,80.0,0.9324594630891558,-6.754053691084416,True
fd2,0.25,4.6,85.0,0.9291013220413277,-7.089867795867233,True
fd2,0.25,4.6,90.0,0.9279322311410872,-7.206776885891275,True
fd2,0.25,4.7,0.0,0.9309310750224016,-6.906892497759842,True
fd2,0.25,4.7,5.0,0.9320511035422477,-6.794889645775227,True
fd2,0.25,4.7,10.0,0.9352686636531865,-6.47313363468135,True
fd2,0.25,4.7,15.0,0.9401770586085415,-5.98229413914585,True
fd2,0.25,4.7,20.0,0.9461635932518209,-5.383640674817913,True
fd2,0.25,4.7,25.0,0.9524933322001461,-4.750666779985391,True
fd2,0.25,4.7,30.0,0.9584035482190665,-4.159645178093352,True
fd2,0.25,4.7,35.0,0.9631949862997232,-3.680501370027678,True
fd2,0.25,4.7,40.0,0.9663096662829251,-3.369033371707486,True
fd2,0.25,4.7,45.0,0.9673890565350848,-3.261094346491522,True
fd2,0.25,4.7,50.0,0.9663096662829251,-3.369033371707486,True
fd2,0.25,4.7,55.0,0.9631949862997232,-3.680501370027678,True
fd2,0.25,4.7,60.0,0.9584035482190665,-4.159645178093352,True
fd2,0.25,4.7,65.0,0.9524933322001461,-4.750666779985391,True
fd2,0.25,4.7,70.0,0.9461635932518209,-5.383640674817913,True
fd2,0.25,4.7,75.0,0.9401770586085415,-5.98229413914585,True
fd2,0.25,4.7,80.0,0.9352686636531865,-6.47313363468135,True
fd2,0.25,4.7,85.0,0.9320511035422477,-6.794889645775227,True
fd2,0.25,4.7,90.0,0.9309310750224016,-6.906892497759842,True
fd2,0.25,4.8,0.0,0.9337474521688932,-6.6252547831106785,True
fd2,0.25,4.8,5.0,0.9348214376259049,-6.517856237409514,True
fd2,0.25,4.8,10.0,0.9379070387016022,-6.209296129839781,True
fd2,0.25,4.8,15.0,0.9426150104680386,-5.738498953196136,True
fd2,0.25,4.8,20.0,0.9483585177397093,-5.164148226029075,True
fd2,0.25,4.8,25.0,0.9544329633007549,-4.556703669924511,True
fd2,0.25,4.8,30.0,0.9601063242395723,-3.9893675760427683,True
fd2,0.25,4.8,35.0,0.9647068003400847,-3.5293199659915286,True
fd2,0.25,4.8,40.0,0.967697846049447,-3.2302153950553025,True
fd2,0.25,4.8,45.0,0.9687344821599826,-3.126551784001741,True
fd2,0.25,4.8,50.0,0.967697846049447,-3.2302153950553025,True
fd2,0.25,4.8,55.0,0.9647068003400857,-3.5293199659914287,True
fd2,0.25,4.8,60.0,0.9601063242395723,-3.9893675760427683,True
fd2,0.25,4.8,65.0,0.9544329633007549,-4.556703669924511,True
fd2,0.25,4.8,70.0,0.948358517739708,-5.164148226029197,True
fd2,0.25,4.8,75.0,0.9426150104680386,-5.738498953196136,True
fd2,0.25,4.8,80.0,0.9379070387016022,-6.209296129839781,True
fd2,0.25,4.8,85.0,0.9348214376259049,-6.517856237409514,True
fd2,0.25,4.8,90.0,0.9337474521688932,-6.6252547831106785,True
fd2,0.25,4.9,0.0,0.9363957905891165,-6.360420941088352,True
fd2,0.25,4.9,5.0,0.9374265100665193,-6.257348993348066,True
fd2,0.25,4.9,10.0,0.9403880853949377,-5.961191460506232,True
fd2,0.25,4.9,15.0,0.9449076107098374,-5.509238929016258,True
fd2,0.25,4.9,20.0,0.9504224973954272,-4.957750260457283,True
fd2,0.25,4.9,25.0,0.9562566489138898,-4.374335108611016,True
fd2,0.25,4.9,30.0,0.9617069495898638,-3.82930504101362,True
fd2,0.25,4.9,35.0,0.9661275020400251,-3.3872497959974934,True
fd2,0.25,4.9,40.0,0.9690020207228318,-3.0997979277168186,True
fd2,0.25,4.9,45.0,0.9699983533346929,-3.0001646665307136,True
fd2,0.25,4.9,50.0,0.9690020207228318,-3.0997979277168186,True
fd2,0.25,4.9,55.0,0.9661275020400262,-3.3872497959973824,True
fd2,0.25,4.9,60.0,0.9617069495898649,-3.8293050410135088,True
fd2,0.25,4.9,65.0,0.9562566489138898,-4.374335108611016,True
fd2,0.25,4.9,70.0,0.9504224973954272,-4.957750260457283,True
fd2,0.25,4.9,75.0,0.9449076107098374,-5.509238929016258,True
fd2,0.25,4.9,80.0,0.9403880853949377,-5.961191460506232,True
fd2,0.25,4.9,85.0,0.9374265100665193,-6.257348993348066,True
fd2,0.25,4.9,90.0,0.9363957905891165,-6.360420941088352,True
fd2,0.25,5.0,0.0,0.9388891287875112,-6.1110871212488815,True
fd2,0.25,5.0,5.0,0.9398791408921026,-6.012085910789744,True
fd2,0.25,5.0,10.0,0.942724002296258,-5.727599770374203,True
fd2,0.25,5.0,15.0,0.9470661270988412,-5.293387290115881,True
fd2,0.25,5.0,20.0,0.9523656920551903,-4.763430794480971,True
fd2,0.25,5.0,25.0,0.9579734088470775,-4.202659115292251,True
fd2,0.25,5.0,30.0,0.9632134075961246,-3.6786592403875384,True
fd2,0.25,5.0,35.0,0.9674642535462177,-3.253574645378232,True
fd2,0.25,5.0,40.0,0.9702288275370886,-2.977117246291139,True
fd2,0.25,5.0,45.0,0.9711871269883554,-2.881287301164459,True
fd2,0.25,5.0,50.0,0.9702288275370886,-2.977117246291139,True
fd2,0.25,5.0,55.0,0.9674642535462177,-3.253574645378232,True
fd2,0.25,5.0,60.0,0.9632134075961246,-3.6786592403875384,True
fd2,0.25,5.0,65.0,0.9579734088470775,-4.202659115292251,True
